Date,FTR,HTGS,ATGS,HTGC,ATGC,HTP,ATP,HM1,HM2,HM3,HM4,HM5,AM1,AM2,AM3,AM4,AM5,HTWinStreak3,HTWinStreak5,HTLossStreak3,HTLossStreak5,ATWinStreak3,ATWinStreak5,ATLossStreak3,ATLossStreak5,HTGD,ATGD,DiffPts,DiffFormPts
2010-10-23,H,0.06862745098039216,0.08571428571428572,0.08433734939759036,0.1518987341772152,1.0,1.2222222222222223,D,D,D,D,D,D,L,W,D,L,0,0,0,0,0,0,0,0,0.0,-0.3333333333333333,-0.2222222222222222,0.0
2010-10-23,NH,0.09803921568627451,0.0761904761904762,0.08433734939759036,0.08860759493670886,1.5555555555555556,1.0,W,W,L,W,D,W,W,D,L,D,0,0,0,0,0,0,0,0,0.3333333333333333,0.1111111111111111,0.5555555555555556,0.2222222222222222
2010-10-23,H,0.10784313725490197,0.08571428571428572,0.1686746987951807,0.11392405063291139,1.3333333333333333,1.0,D,D,W,W,D,L,D,D,D,W,0,0,0,0,0,0,0,0,-0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
2010-10-23,NH,0.058823529411764705,0.11428571428571428,0.18072289156626506,0.1518987341772152,0.6666666666666666,0.8888888888888888,D,D,W,D,L,D,L,L,W,L,0,0,0,0,0,0,0,0,-1.0,0.0,-0.2222222222222222,0.2222222222222222
2010-10-23,NH,0.058823529411764705,0.11428571428571428,0.18072289156626506,0.1518987341772152,1.0,1.2222222222222223,D,W,D,L,D,W,D,D,D,L,0,0,0,0,0,0,0,0,-1.0,0.0,-0.2222222222222222,0.0
2010-10-24,H,0.06862745098039216,0.06666666666666667,0.1566265060240964,0.10126582278481013,0.6666666666666666,1.0,L,L,D,L,D,D,L,W,D,D,0,0,0,0,0,0,0,0,-0.6666666666666666,-0.1111111111111111,-0.3333333333333333,-0.4444444444444444
2010-10-24,NH,0.11764705882352941,0.17142857142857143,0.060240963855421686,0.12658227848101267,1.8888888888888888,1.5555555555555556,W,W,W,W,D,W,L,L,D,W,0,0,0,0,0,0,0,0,0.7777777777777778,0.8888888888888888,0.3333333333333333,0.6666666666666666
2010-10-24,NH,0.08823529411764706,0.17142857142857143,0.13253012048192772,0.13924050632911392,1.1111111111111112,1.5555555555555556,L,W,W,D,W,D,D,D,W,D,0,0,0,0,0,0,0,0,-0.2222222222222222,0.7777777777777778,-0.4444444444444444,0.3333333333333333
2010-10-30,H,0.20588235294117646,0.06666666666666667,0.12048192771084337,0.21518987341772153,1.7,0.6,W,W,L,L,D,L,D,D,W,D,0,0,0,0,0,0,0,0,1.1,-1.0,1.1,0.1
2010-10-30,NH,0.0784313725490196,0.23809523809523808,0.12048192771084337,0.02531645569620253,0.9,2.2,L,D,L,W,D,W,D,W,L,W,0,0,0,0,0,0,0,0,-0.2,2.3,-1.3,-0.5
